epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.208,2.06544,3.01997,2.09191,0.10848,0.22291,0.07364,0.0192,2.61407,4.16823,2.69917,0.000552916,0.000552916,0.000552916
2,182.118,2.12204,2.63172,2.16189,0.07576,0.16275,0.04669,0.01441,2.73428,6.27724,2.73402,0.00109029,0.00109029,0.00109029
3,265.876,2.08333,2.6036,2.13689,0.15923,0.20123,0.11819,0.03505,2.58211,2.97652,2.42599,0.00160933,0.00160933,0.00160933
4,353.019,2.06266,2.57931,2.13651,0.1325,0.205,0.11194,0.03686,2.28616,3.09233,2.33457,0.00158448,0.00158448,0.00158448
5,436.871,2.0235,2.50494,2.08006,0.24569,0.26481,0.16738,0.05086,2.29196,2.61239,2.18805,0.00155698,0.00155698,0.00155698
6,524.037,1.99312,2.38646,2.03655,0.26378,0.2715,0.20606,0.06635,2.32674,2.46994,2.3228,0.00152947,0.00152947,0.00152947
7,606.914,1.97205,2.33194,1.99443,0.2612,0.32864,0.21869,0.07036,2.21564,2.47495,2.09953,0.00150197,0.00150197,0.00150197
8,693.518,1.9511,2.28616,1.96791,0.27398,0.33047,0.21308,0.07197,2.23086,2.42281,2.1546,0.00147446,0.00147446,0.00147446
9,776.536,1.92487,2.22992,1.95045,0.31611,0.32067,0.26626,0.08899,2.14889,2.32121,2.07871,0.00144696,0.00144696,0.00144696
10,862.102,1.90678,2.21431,1.93133,0.26475,0.36264,0.22601,0.07391,2.28388,2.28626,2.17813,0.00141945,0.00141945,0.00141945
11,946.196,1.8819,2.17153,1.92552,0.34227,0.34089,0.30029,0.10513,2.15922,2.11473,2.02798,0.00139195,0.00139195,0.00139195
12,1031.88,1.88349,2.13756,1.90898,0.27876,0.3456,0.24747,0.08726,2.16458,2.25599,1.9997,0.00136444,0.00136444,0.00136444
13,1115.4,1.86034,2.09725,1.88807,0.31272,0.37084,0.28984,0.10104,2.07908,2.13713,1.99579,0.00133693,0.00133693,0.00133693
14,1202.06,1.84552,2.07808,1.8709,0.34211,0.38261,0.32223,0.11557,2.11173,2.18279,1.96872,0.00130943,0.00130943,0.00130943
15,1285.43,1.8406,2.06539,1.8697,0.37608,0.36566,0.32069,0.12079,2.05738,2.28765,2.00137,0.00128192,0.00128192,0.00128192
16,1370.67,1.82449,2.02849,1.84563,0.34887,0.35941,0.30469,0.10386,2.13273,2.15553,2.03811,0.00125442,0.00125442,0.00125442
17,1453.9,1.80653,2.00587,1.83046,0.38368,0.31728,0.31253,0.10941,2.14274,2.07796,2.02368,0.00122691,0.00122691,0.00122691
18,1539.99,1.8144,1.98314,1.8346,0.38523,0.38807,0.33559,0.12428,2.09848,1.98886,1.95525,0.00119941,0.00119941,0.00119941
19,1621.65,1.79631,1.95082,1.83071,0.40221,0.39949,0.35965,0.13006,2.12586,1.93391,1.9935,0.0011719,0.0011719,0.0011719
20,1706.7,1.7781,1.93474,1.81364,0.35989,0.42591,0.33023,0.12225,2.10902,2.10829,1.98039,0.0011444,0.0011444,0.0011444
21,1789.2,1.7706,1.89269,1.79879,0.41165,0.40169,0.34501,0.1315,2.05482,1.99439,1.948,0.00111689,0.00111689,0.00111689
22,1873.27,1.76124,1.85891,1.78797,0.41062,0.41809,0.38221,0.14479,2.1092,1.89005,1.99898,0.00108938,0.00108938,0.00108938
23,1956.11,1.74779,1.85544,1.77858,0.41486,0.38787,0.34795,0.12851,2.10259,1.96424,1.9828,0.00106188,0.00106188,0.00106188
24,2041.47,1.7547,1.85239,1.77938,0.42156,0.39401,0.37176,0.14103,2.04997,1.92446,1.95975,0.00103437,0.00103437,0.00103437
25,2124.13,1.74442,1.83014,1.77977,0.44915,0.37527,0.36033,0.13859,2.1342,1.90942,2.04116,0.00100687,0.00100687,0.00100687
26,2208.99,1.71989,1.80922,1.75099,0.40349,0.39485,0.33318,0.12596,2.0693,2.00568,1.95162,0.000979362,0.000979362,0.000979362
27,2291.06,1.71909,1.78337,1.74824,0.39154,0.42496,0.34224,0.13305,2.02685,1.90858,1.92909,0.000951857,0.000951857,0.000951857
28,2374.66,1.71718,1.7942,1.76403,0.48708,0.38564,0.3876,0.14705,2.02506,1.83216,1.9158,0.000924352,0.000924352,0.000924352
29,2457.48,1.68791,1.74715,1.7295,0.4817,0.41792,0.39018,0.15575,2.05874,1.84819,1.95303,0.000896846,0.000896846,0.000896846
30,2542.82,1.69592,1.74653,1.74201,0.47752,0.40648,0.39497,0.15672,2.07397,1.80199,1.94092,0.00086934,0.00086934,0.00086934
31,2627.74,1.69502,1.71813,1.72951,0.39126,0.42495,0.35798,0.14036,2.03909,1.9267,1.93917,0.000841835,0.000841835,0.000841835
32,2714.56,1.67314,1.70446,1.71684,0.40855,0.46354,0.39702,0.15695,1.99612,1.93072,1.92332,0.000814329,0.000814329,0.000814329
33,2797.32,1.64248,1.686,1.70173,0.48912,0.43345,0.41649,0.16623,2.02535,1.79791,1.91696,0.000786824,0.000786824,0.000786824
34,2880.73,1.66043,1.6876,1.70932,0.4224,0.4451,0.40633,0.16374,2.02741,1.82628,1.95698,0.000759318,0.000759318,0.000759318
35,2966.13,1.6374,1.6516,1.69916,0.46261,0.44049,0.4183,0.1688,2.03632,1.79688,1.94289,0.000731813,0.000731813,0.000731813
36,3048.66,1.6309,1.61588,1.68927,0.45815,0.46207,0.42453,0.17355,2.00656,1.75771,1.9501,0.000704307,0.000704307,0.000704307
37,3135.57,1.62971,1.61022,1.68031,0.49818,0.43803,0.42416,0.17794,1.94941,1.74552,1.8811,0.000676802,0.000676802,0.000676802
38,3218.6,1.60964,1.58616,1.67531,0.46049,0.43654,0.40314,0.16575,2.02826,1.82304,1.9478,0.000649297,0.000649297,0.000649297
39,3303.95,1.58837,1.5505,1.65482,0.39427,0.49144,0.38888,0.15394,2.05007,1.85285,1.95479,0.000621791,0.000621791,0.000621791
40,3387.45,1.59398,1.56452,1.65578,0.46282,0.43108,0.40868,0.166,2.02653,1.75214,1.93498,0.000594286,0.000594286,0.000594286
41,3473.18,1.5993,1.53755,1.64718,0.40071,0.4605,0.38831,0.15908,2.0391,1.80914,1.94193,0.00056678,0.00056678,0.00056678
42,3556.45,1.58067,1.51634,1.63223,0.42866,0.46131,0.4197,0.17539,2.00205,1.75989,1.92242,0.000539275,0.000539275,0.000539275
43,3642.5,1.5557,1.49763,1.62726,0.48365,0.47115,0.44702,0.18926,1.99329,1.68787,1.9112,0.000511769,0.000511769,0.000511769
44,3725.68,1.56119,1.50216,1.62629,0.48876,0.46061,0.44835,0.19107,1.99205,1.65941,1.92359,0.000484263,0.000484263,0.000484263
45,3812.35,1.5372,1.46661,1.60502,0.5175,0.46337,0.45366,0.18601,1.9871,1.67774,1.91969,0.000456758,0.000456758,0.000456758
46,3895.35,1.54753,1.46524,1.61606,0.52801,0.46591,0.45586,0.19288,1.99316,1.68673,1.91461,0.000429253,0.000429253,0.000429253
47,3977.35,1.53915,1.4322,1.61096,0.47115,0.46665,0.43712,0.17661,2.01029,1.70904,1.95903,0.000401747,0.000401747,0.000401747
48,4063.57,1.51339,1.40875,1.58499,0.54602,0.45134,0.4542,0.1904,2.01437,1.649,1.91087,0.000374242,0.000374242,0.000374242
49,4147.69,1.50897,1.39909,1.58315,0.49829,0.48947,0.45266,0.19177,2.00829,1.62729,1.91244,0.000346736,0.000346736,0.000346736
50,4233.94,1.48723,1.3639,1.57075,0.54437,0.46671,0.46418,0.19803,1.99278,1.64559,1.91792,0.000319231,0.000319231,0.000319231
51,4319.23,1.53639,1.30134,1.61887,0.52143,0.49302,0.46536,0.19349,2.00748,1.62857,1.94027,0.000291725,0.000291725,0.000291725
52,4404.37,1.51164,1.23398,1.60398,0.53319,0.4586,0.45965,0.19256,2.02247,1.645,1.95428,0.00026422,0.00026422,0.00026422
53,4488.19,1.4771,1.20902,1.57567,0.50458,0.49468,0.45607,0.1847,2.02908,1.60559,1.96124,0.000236714,0.000236714,0.000236714
54,4574.18,1.46249,1.1773,1.55892,0.53271,0.50853,0.47519,0.19755,2.03269,1.58272,1.95993,0.000209209,0.000209209,0.000209209
55,4654.82,1.45787,1.15484,1.55294,0.55696,0.47453,0.46693,0.19507,2.02892,1.5923,1.95797,0.000181703,0.000181703,0.000181703
56,4740.6,1.4338,1.13932,1.53732,0.55823,0.47762,0.4728,0.1972,2.05231,1.60285,1.97723,0.000154198,0.000154198,0.000154198
57,4824.1,1.42619,1.10865,1.52434,0.5289,0.49529,0.46925,0.19574,2.045,1.5994,1.97828,0.000126692,0.000126692,0.000126692
58,4907.53,1.41142,1.09212,1.51317,0.53948,0.49303,0.48402,0.20517,2.01752,1.58276,1.97009,9.91865e-05,9.91865e-05,9.91865e-05
59,4987.74,1.39374,1.08994,1.50877,0.53307,0.50967,0.4843,0.20207,2.02992,1.59218,1.97785,7.1681e-05,7.1681e-05,7.1681e-05
60,5070.44,1.38527,1.07241,1.50454,0.52993,0.50336,0.4775,0.19751,2.03579,1.58905,1.99438,4.41755e-05,4.41755e-05,4.41755e-05
